"","easting","northing","plot_area","metric","value"
"1",710506.32405532,4330506.32405532,"40m","mean.max.canopy.ht.aop",1.24261333284406
"2",710562.892597815,4330506.32405532,"40m","mean.max.canopy.ht.aop",1.6840231193964
"3",710619.46114031,4330506.32405532,"40m","mean.max.canopy.ht.aop",0.70555407201984
"4",710506.32405532,4330506.32405532,"40m","max.canopy.ht.aop",6.78851128954001
"5",710562.892597815,4330506.32405532,"40m","max.canopy.ht.aop",13.5760029793576
"6",710619.46114031,4330506.32405532,"40m","max.canopy.ht.aop",0.975100126786367
"7",710506.32405532,4330506.32405532,"40m","rumple.aop",1.05081249776978
"8",710562.892597815,4330506.32405532,"40m","rumple.aop",1.14786744730656
"9",710619.46114031,4330506.32405532,"40m","rumple.aop",1.003416024151
"10",710506.32405532,4330506.32405532,"40m","deepgaps.aop",334
"11",710562.892597815,4330506.32405532,"40m","deepgaps.aop",233
"12",710619.46114031,4330506.32405532,"40m","deepgaps.aop",1130
"13",710506.32405532,4330506.32405532,"40m","deepgap.fraction.aop",0.198691255205235
"14",710562.892597815,4330506.32405532,"40m","deepgap.fraction.aop",0.138607971445568
"15",710619.46114031,4330506.32405532,"40m","deepgap.fraction.aop",0.672218917311124
"16",710506.32405532,4330506.32405532,"40m","cover.fraction.aop",0.801308744794765
"17",710562.892597815,4330506.32405532,"40m","cover.fraction.aop",0.861392028554432
"18",710619.46114031,4330506.32405532,"40m","cover.fraction.aop",0.327781082688876
"19",710506.32405532,4330506.32405532,"40m","top.rugosity.aop",1.13178516974673
"20",710562.892597815,4330506.32405532,"40m","top.rugosity.aop",2.4731121519361
"21",710619.46114031,4330506.32405532,"40m","top.rugosity.aop",0.0898624470088405
"22",710506.32405532,4330506.32405532,"40m","vert.sd.aop",1.78491636713648
"23",710562.892597815,4330506.32405532,"40m","vert.sd.aop",3.4356347428838
"24",710619.46114031,4330506.32405532,"40m","vert.sd.aop",0.151088572271994
"25",710506.32405532,4330506.32405532,"40m","sd.sd.aop",NA
"26",710562.892597815,4330506.32405532,"40m","sd.sd.aop",0.0423582038877123
"27",710619.46114031,4330506.32405532,"40m","sd.sd.aop",NA
"28",710506.32405532,4330506.32405532,"40m","entropy.aop",0.907754705207022
"29",710562.892597815,4330506.32405532,"40m","entropy.aop",0.953278815527995
"30",710619.46114031,4330506.32405532,"40m","entropy.aop",NA
"31",710506.32405532,4330506.32405532,"40m","GFP.AOP.aop",0.85075340141308
"32",710562.892597815,4330506.32405532,"40m","GFP.AOP.aop",0.885123690649565
"33",710619.46114031,4330506.32405532,"40m","GFP.AOP.aop",NA
"34",710506.32405532,4330506.32405532,"40m","VAI.AOP.aop",1.70883065631213
"35",710562.892597815,4330506.32405532,"40m","VAI.AOP.aop",2.76707316795512
"36",710619.46114031,4330506.32405532,"40m","VAI.AOP.aop",0
"37",710506.32405532,4330506.32405532,"40m","VCI.AOP.aop",0.409892092458643
"38",710562.892597815,4330506.32405532,"40m","VCI.AOP.aop",0.546289788147389
"39",710619.46114031,4330506.32405532,"40m","VCI.AOP.aop",0.0291461463271776
